id,text,label
c01,승차감 진짜 부드럽네요 장거리도 안 피곤할 듯,긍정
c02,이 가격에 이 옵션이면 혜자다,긍정
c03,실내 마감 퀄리티가 확실히 올라갔네요,긍정
c04,고속에서도 조용해서 놀랐습니다,긍정
c05,연비 실제로 뽑아보니 광고랑 비슷하게 나와요,긍정
c06,시트 착좌감이 편해서 허리가 안 아픔,긍정
c07,차선유지 보조가 생각보다 자연스럽다,긍정
c08,트렁크 공간 넉넉해서 캠핑용으로 딱,긍정
c09,풍절음이 심해서 통화가 안 됩니다,부정
c10,플라스틱 마감이 티가 너무 나네요,부정
c11,이 가격이면 경쟁 모델이 훨씬 낫다,부정
c12,인포테인먼트 반응 속도가 답답합니다,부정
c13,뒷좌석 레그룸이 생각보다 좁아요,부정
c14,서스펜션이 딱딱해서 과속방지턱마다 충격이 옴,부정
c15,공조 버튼을 터치로 바꾼 건 개악이다,부정
c16,실연비가 공인연비랑 차이가 너무 큽니다,부정
c17,승차감은 좋은데 실내가 싸구려 같다,복합
c18,성능은 만족스러운데 연비가 아쉽네요,복합
c19,디자인은 예쁜데 시야가 좀 답답해요,복합
c20,옵션은 좋은데 가격이 너무 올랐다,복합
c21,조용하긴 한데 가속이 답답합니다,복합
c22,공간은 넓은데 마감이 아쉬워요,복합
c23,기대만큼은 아니지만 이 값이면 무난하다,복합
c24,주행보조는 훌륭한데 인포테인먼트가 별로네요,복합
